id,match_date,country_id,competition_id,score_japan,score_opponent,goal_scorers,yellow_cards,red_cards,venue
1,1917-05-09,112,69,0.0,5.0,,,,JPN
2,1917-09-10,82,69,2.0,15.0,,,,JPN
3,1921-05-30,82,97,1.0,3.0,,,,CHN
4,1921-06-01,112,97,0.0,4.0,,,,CHN
5,1923-05-23,82,105,1.0,2.0,,,,JPN
6,1923-05-24,112,105,1.0,5.0,,,,JPN
7,1925-05-17,82,111,0.0,4.0,,,,PHI
8,1925-05-20,112,111,0.0,2.0,,,,PHI
9,1927-08-27,112,117,1.0,5.0,,,,CHN
10,1927-08-29,82,117,2.0,1.0,,,,CHN
11,1930-05-25,82,80,7.0,2.0,,,,JPN
12,1930-05-29,112,80,3.0,3.0,,,,JPN
13,1934-05-13,14,133,1.0,7.0,,,,PHI
14,1934-05-15,82,133,4.0,3.0,,,,PHI
15,1934-05-20,112,133,3.0,4.0,,,,PHI
16,1936-08-04,47,141,3.0,2.0,,,,GER
17,1936-08-07,9,141,0.0,8.0,,,,GER
18,1939-09-02,112,3,3.0,0.0,,,,MAN
19,1939-09-03,112,3,6.0,0.0,,,,MAN
20,1940-06-07,112,2,7.0,0.0,,,,JPN
21,1940-06-09,112,2,6.0,0.0,,,,JPN
22,1940-06-16,82,2,1.0,0.0,,,,JPN
23,1942-08-08,112,89,6.0,1.0,,,,MAN
24,1942-08-09,112,89,3.0,0.0,,,,MAN
25,1942-08-10,104,89,12.0,0.0,,,,MAN
26,1942-08-16,117,51,0.0,5.0,,,,KOR
27,1951-03-07,11,4,0.0,0.0,,,,Delhi
28,1951-03-08,11,55,2.0,3.0,,,,Delhi
29,1951-03-09,3,55,2.0,0.0,,,,Delhi
30,1954-03-07,117,101,1.0,5.0,,,,JPN
31,1954-03-14,117,101,2.0,2.0,,,,JPN
32,1954-05-01,14,60,3.0,5.0,,,,PHI
33,1954-05-03,13,60,2.0,3.0,,,,PHI
34,1955-01-11,102,51,1.0,0.0,,,,BUR
35,1955-10-09,102,51,0.0,0.0,,,,JPN
36,1956-06-03,117,170,2.0,0.0,,,,JPN
37,1956-06-10,117,170,0.0,2.0,,,,JPN
38,1956-11-27,24,169,0.0,2.0,,,,AUS
